# Table from ELT ETC docs
# https://www.eso.org/observing/etc/doc/elt/etc_spec_model.pdf
Rref U B V R I J H K L M N Q
2.2 0.00278 0.00319 0.00376 0.00446 0.00594 0.00957 0.0136 0.0310 0.234 0.449 0.303 0.104
2.6 0.00390 0.00446 0.00530 0.00635 0.00836 0.0131 0.0189 0.0426 0.325 0.627 0.424 0.145
3.3 0.00631 0.00716 0.00844 0.0103 0.0132 0.0211 0.0306 0.0674 0.497 1.000 0.683 0.234
4.2 0.0103 0.0115 0.0135 0.0168 0.0217 0.0338 0.0495 0.108 0.761 1.56 1.11 0.378
5.0 0.0145 0.0163 0.0190 0.0236 0.0303 0.0467 0.0695 0.150 1.03 2.13 1.57 0.536
5.4 0.0169 0.0191 0.0222 0.0275 0.0353 0.0546 0.0805 0.173 1.16 2.45 1.83 0.626
7.5 0.0324 0.0365 0.0431 0.0522 0.0677 0.102 0.158 0.318 2.08 4.17 3.52 1.21
9.9 0.0566 0.0629 0.0743 0.0909 0.117 0.175 0.276 0.524 3.18 6.78 5.88 2.10
10.0 0.0577 0.0642 0.0758 0.0928 0.119 0.179 0.280 0.539 3.20 6.93 5.94 2.15
13.0 0.0975 0.109 0.128 0.156 0.198 0.297 0.471 0.866 4.29 10.4 9.31 3.63
15.0 0.130 0.145 0.170 0.209 0.263 0.393 0.624 1.14 4.97 12.1 11.8 4.81
20.0 0.230 0.259 0.301 0.370 0.466 0.695 1.08 1.98 6.35 15.7 19.3 8.14
21.0 0.254 0.286 0.333 0.408 0.514 0.766 1.19 2.17 6.64 16.1 21.0 8.79
29.0 0.483 0.543 0.635 0.772 0.970 1.44 2.15 3.83 10.2 18.8 34.2 15.1
50.0 1.43 1.60 1.87 2.26 2.84 4.09 5.94 9.41 20.1 31.7 51.0 38.0
63.0 2.25 2.52 2.94 3.55 4.45 6.30 9.00 13.7 25.6 37.4 52.9 48.7
100.0 5.55 6.19 7.16 8.54 10.5 14.4 19.5 26.7 39.7 50.4 68.4 63.8
120.0 7.85 8.74 10.1 11.9 14.6 19.5 25.5 33.5 46.3 55.7 72.9 65.0
150.0 11.9 13.2 15.1 17.7 21.2 27.4 34.3 42.7 55.0 62.6 75.8 69.6
200.0 19.8 21.8 24.6 28.2 32.8 40.2 47.4 55.1 65.3 71.5 80.8 82.6
300.0 37.7 40.5 44.2 48.7 53.7 60.5 66.0 71.2 77.9 81.5 86.5 86.3
400.0 54.5 57.2 60.7 64.7 68.7 73.6 77.2 80.5 84.6 87.0 90.2 90.0
500.0 67.9 70.0 72.7 75.6 78.4 81.7 84.1 86.1 88.7 90.3 92.2 92.0
800.0 89.3 89.4 89.9 90.6 91.4 92.3 93.1 93.7 94.5 94.9 95.5 95.0
1000.0 95.0 94.4 94.2 94.3 94.6 95.0 95.4 95.8 96.2 96.4 96.6 96.1
