# Table from ELT ETC docs
# https://www.eso.org/observing/etc/doc/elt/etc_spec_model.pdf
Rref U B V R I J H K L M N Q
2.2 0.00400 0.00500 0.0160 0.161 0.973 3.08 4.39 4.49 2.77 1.67 0.394 0.111
2.6 0.00500 0.00700 0.0210 0.201 1.23 4.09 5.84 5.93 3.87 2.33 0.550 0.154
3.3 0.00900 0.0120 0.0310 0.265 1.63 6.06 8.79 8.82 6.06 3.76 0.886 0.249
4.2 0.0140 0.0190 0.0460 0.336 2.03 7.91 13.2 13.1 9.06 5.98 1.44 0.403
5.0 0.0200 0.0270 0.0610 0.400 2.29 9.40 15.9 17.9 12.0 8.11 2.04 0.571
5.4 0.0230 0.0310 0.0700 0.433 2.40 9.91 17.2 20.4 13.8 9.23 2.37 0.666
7.5 0.0450 0.0590 0.121 0.605 3.10 11.5 22.2 28.9 24.0 15.9 4.58 1.28
9.9 0.0780 0.102 0.193 0.787 3.78 13.5 24.1 35.4 36.0 25.4 7.67 2.24
10.0 0.0790 0.104 0.196 0.794 3.80 13.6 24.2 35.5 36.2 25.8 7.86 2.28
13.0 0.133 0.172 0.307 1.01 4.33 16.2 27.7 37.5 45.6 38.7 12.1 3.86
15.0 0.176 0.228 0.392 1.17 4.58 16.9 30.8 39.3 50.8 44.9 15.3 5.14
20.0 0.312 0.397 0.647 1.61 5.33 18.0 33.9 47.2 53.3 56.4 25.0 8.70
21.0 0.344 0.436 0.706 1.71 5.49 18.1 34.1 48.5 53.7 57.4 27.5 9.39
29.0 0.655 0.819 1.26 2.59 6.74 19.8 35.5 51.8 62.1 60.2 44.6 15.9
50.0 1.91 2.35 3.35 5.78 10.9 23.8 39.4 55.0 72.0 78.0 65.4 40.6
63.0 3.01 3.66 5.06 8.09 14.2 26.8 41.4 56.8 73.2 79.3 66.8 51.8
100.0 7.27 8.67 11.2 15.8 23.2 36.2 48.2 60.6 76.7 82.2 83.4 67.5
120.0 10.2 12.0 15.2 20.3 27.9 40.6 52.2 63.0 77.9 83.9 86.8 68.5
150.0 15.1 17.5 21.4 27.1 34.7 46.7 56.9 66.8 79.2 84.5 87.3 73.1
200.0 24.3 27.5 32.1 38.1 44.9 55.1 63.8 71.6 81.5 86.3 89.6 86.6
300.0 43.2 46.7 51.2 56.4 61.6 67.6 73.1 78.5 85.4 88.7 92.0 89.2
400.0 59.1 61.9 65.4 69.1 72.7 76.8 79.4 83.0 88.1 90.5 93.4 91.8
500.0 70.9 72.8 75.1 77.6 80.0 82.7 84.6 86.2 89.9 91.9 94.1 93.5
800.0 89.3 89.2 89.4 89.8 90.4 91.2 91.9 92.5 93.2 94.3 95.7 95.4
1000.0 94.7 93.7 93.3 93.3 93.4 93.7 94.1 94.4 94.9 95.2 96.3 96.1
