# Table from ELT ETC docs
# https://www.eso.org/observing/etc/doc/elt/etc_spec_model.pdf
Rref U B V R I J H K L M N Q
2.2 0.00229 0.00263 0.00282 0.00325 0.00380 0.00480 0.00474 0.00646 0.0142 0.0367 0.160 0.0867
2.6 0.00322 0.00362 0.00396 0.00460 0.00529 0.00663 0.00664 0.00908 0.0201 0.0512 0.223 0.121
3.3 0.00519 0.00582 0.00640 0.00737 0.00857 0.0107 0.0110 0.0146 0.0331 0.0824 0.359 0.195
4.2 0.00843 0.00934 0.0104 0.0119 0.0140 0.0174 0.0180 0.0236 0.0531 0.134 0.582 0.316
5.0 0.0119 0.0132 0.0147 0.0169 0.0199 0.0245 0.0260 0.0348 0.0758 0.188 0.825 0.448
5.4 0.0139 0.0154 0.0171 0.0198 0.0233 0.0283 0.0306 0.0410 0.0881 0.219 0.962 0.523
7.5 0.0268 0.0295 0.0328 0.0384 0.0451 0.0540 0.0619 0.0828 0.167 0.405 1.83 1.01
9.9 0.0468 0.0512 0.0572 0.0670 0.0775 0.0950 0.114 0.150 0.289 0.683 3.10 1.76
10.0 0.0478 0.0523 0.0584 0.0685 0.0792 0.0968 0.116 0.153 0.290 0.700 3.14 1.79
13.0 0.0809 0.0886 0.0982 0.115 0.133 0.167 0.202 0.265 0.488 1.13 4.98 3.03
15.0 0.108 0.118 0.131 0.152 0.177 0.224 0.271 0.355 0.634 1.47 6.30 4.02
20.0 0.192 0.209 0.234 0.270 0.316 0.397 0.493 0.623 1.10 2.38 10.3 6.84
21.0 0.212 0.231 0.258 0.298 0.348 0.437 0.544 0.683 1.20 2.56 11.4 7.42
29.0 0.403 0.441 0.493 0.567 0.660 0.826 1.02 1.27 2.23 4.27 18.8 12.6
50.0 1.19 1.30 1.46 1.67 1.94 2.42 2.93 3.76 6.44 9.94 30.3 32.0
63.0 1.88 2.06 2.31 2.64 3.06 3.79 4.59 5.86 9.55 14.3 33.7 41.2
100.0 4.66 5.08 5.68 6.47 7.46 9.13 11.0 13.7 20.2 27.0 47.8 55.1
120.0 6.63 7.21 8.04 9.13 10.5 12.8 15.3 18.6 26.8 33.8 53.5 57.0
150.0 10.1 11.0 12.2 13.7 15.7 18.9 22.3 26.7 35.8 43.4 59.9 62.3
200.0 17.1 18.4 20.3 22.7 25.6 30.1 34.7 40.1 49.8 56.4 68.7 74.7
300.0 33.5 35.6 38.5 42.0 46.1 51.8 56.8 61.9 69.5 73.7 80.4 81.2
400.0 50.0 52.4 55.5 59.1 63.0 68.0 71.9 75.6 80.5 83.0 86.4 86.5
500.0 64.0 66.1 68.8 71.8 74.8 78.5 81.2 83.6 86.7 88.2 90.0 89.7
800.0 88.0 88.3 88.9 89.8 90.7 91.8 92.6 93.3 94.2 94.6 94.9 94.1
1000.0 94.5 93.9 93.8 94.0 94.3 94.8 95.2 95.6 96.1 96.3 96.3 95.6
