x	y
3.346	9.186e-9
3.376	5.960e-9
3.408	3.860e-9
3.433	2.586e-9
3.495	1.774e-9
3.546	1.175e-9
3.587	7.754e-10
3.619	5.172e-10
3.661	3.456e-10
3.869	2.278e-10
3.963	1.519e-10
4.137	1.036e-10
4.282	6.988e-11
4.654	3.809e-11
5.234	7.111e-11
6.077	4.584e-11
6.933	6.765e-11
7.659	5.294e-11
8.230	6.674e-11
8.903	7.440e-11
9.666	7.750e-11
10.547	7.696e-11
11.386	8.693e-11
11.569	1.315e-10
11.653	2.024e-10
11.717	3.011e-10
11.724	4.417e-10
11.761	6.503e-10
11.836	9.632e-10
11.890	1.435e-9
11.893	2.122e-9
11.948	3.235e-9
11.982	4.671e-9
12.004	6.959e-9
12.071	9.737e-9
