x	y
1.446	9.986e-9
1.534	6.000e-9
1.737	2.708e-9
1.934	1.169e-9
2.045	7.796e-10
2.203	5.236e-10
2.563	2.335e-10
2.818	1.672e-10
3.129	1.493e-10
4.062	1.562e-10
4.360	1.569e-10
4.823	1.361e-10
5.017	1.354e-10
5.560	1.037e-10
5.944	6.918e-11
6.246	5.002e-11
6.470	4.823e-11
6.892	5.635e-11
7.299	4.331e-11
7.705	3.325e-11
8.118	5.344e-11
8.451	6.898e-11
8.682	7.707e-11
9.298	6.131e-11
9.562	5.435e-11
10.063	5.052e-11
10.257	4.905e-11
10.501	4.737e-11
10.926	3.769e-11
11.578	2.727e-11
12.264	2.142e-11
12.828	1.857e-11
13.539	2.328e-11
13.921	3.465e-11
14.680	1.175e-10
14.993	1.575e-10
15.360	1.666e-10
15.805	1.089e-10
16.243	7.729e-11
16.848	1.100e-10
17.520	2.007e-10
17.990	1.868e-10
18.426	1.367e-10
18.840	9.201e-11
19.376	5.952e-11
19.698	5.714e-11
20.204	7.184e-11
20.629	8.754e-11
21.162	9.280e-11
21.636	9.280e-11
21.903	1.490e-10
22.102	2.439e-10
22.315	3.715e-10
22.665	7.338e-10
23.092	8.458e-10
23.431	7.039e-10
23.835	5.278e-10
24.182	3.166e-10
24.699	1.399e-10
24.979	9.352e-11
25.255	6.452e-11
25.775	9.688e-11
26.071	1.443e-10
26.269	1.923e-10
26.572	2.717e-10
26.929	4.255e-10
27.323	6.508e-10
27.624	9.948e-10
27.921	2.156e-9
28.179	4.768e-9
28.415	9.943e-9
