x	y
2.767	9.957e-9
2.814	8.556e-9
3.117	1.840e-9
3.364	8.515e-10
3.593	1.965e-9
3.891	2.734e-9
4.173	1.806e-9
4.387	1.045e-9
4.604	7.880e-10
4.829	1.042e-9
5.129	1.411e-9
5.375	1.136e-9
5.641	6.548e-10
5.857	3.748e-10
6.182	4.054e-10
6.431	4.797e-10
6.656	4.153e-10
7.139	1.642e-10
7.533	2.126e-10
7.782	2.329e-10
7.943	1.993e-10
8.074	1.515e-10
8.325	1.170e-10
8.700	1.480e-10
8.976	1.770e-10
9.145	1.504e-10
9.364	1.136e-10
9.548	9.984e-11
10.120	1.131e-10
10.748	6.661e-11
11.374	7.382e-11
11.876	5.273e-11
12.530	6.894e-11
13.125	5.164e-11
13.703	5.931e-11
14.316	4.387e-11
14.847	4.754e-11
15.332	4.157e-11
15.677	3.950e-11
16.212	4.473e-11
16.697	3.819e-11
17.350	4.533e-11
17.723	4.099e-11
18.496	4.588e-11
18.976	4.522e-11
19.714	5.098e-11
20.179	5.098e-11
20.491	6.627e-11
20.865	1.405e-10
21.384	9.871e-9
